ticker,company name,short name,industry,sector,name change effective date
A,Agilent Technologies Inc.,Agilent,Medical Diagnostics & Research,Healthcare,
AA,Alcoa Corporation,Alcoa,Metals & Mining,Basic Materials,
AABA,Altaba Inc.,Altaba,Asset Management,Financial Services,
AAC,AAC Holdings Inc.,AAC,Health Care Providers,Healthcare,
AADR,AdvisorShares Dorsey Wright ADR,AdvisorShares Dorsey Wright,,,
AAL,American Airlines Group Inc.,American Airlines,Airlines,Industrials,
AAMC,Altisource Asset Management Corp Com,Altisource Asset Management,Asset Management,Financial Services,
AAME,Atlantic American Corporation,Atlantic American,Insurance - Life,Financial Services,
AAN,Aaron's Inc.,Aaron's,Consulting & Outsourcing,Industrials,
AAOI,Applied Optoelectronics Inc.,Applied Optoelectronics,Semiconductors,Technology,
AAON,AAON Inc.,AAON,Building Materials,Basic Materials,
AAP,Advance Auto Parts Inc W/I,Advance Auto Parts,Retail - Apparel & Specialty,Consumer Cyclical,
AAPL,Apple Inc.,Apple,Computer Hardware,Technology,
AAT,American Assets Trust Inc.,American Assets Trust,REITs,Real Estate,
AAU,Almaden Minerals Ltd.,Almaden Minerals,Metals & Mining,Basic Materials,
AAWW,Atlas Air Worldwide Holdings,Atlas Air Worldwide,Transportation & Logistics,Industrials,
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,iShares MSCI All Country Asia ex Japan Index Fund,,,
AAXN,Axon Enterprise Inc.,Axon Enterprise,Aerospace & Defense,Industrials,
AB,AllianceBernstein Holding L.P. Units,AllianceBernstein Holding Units,Asset Management,Financial Services,
ABB,ABB Ltd,ABB,Industrial Products,Industrials,
ABBV,AbbVie Inc.,AbbVie,Drug Manufacturers,Healthcare,
ABC,AmerisourceBergen Corporation,AmerisourceBergen,Medical Distribution,Healthcare,
ABCB,Ameris Bancorp,Ameris Bancorp,Banks,Financial Services,
ABDC,Alcentra Capital Corp.,Alcentra Capital,Asset Management,Financial Services,
ABEO,Abeona Therapeutics Inc.,Abeona Therapeutics,Biotechnology,Healthcare,
ABEV,Ambev S.A. American Depositary Shares (Each representing 1),Ambev S.A. American Depositary Shares (Each representing 1),Beverages - Alcoholic,Consumer Defensive,
ABG,Asbury Automotive Group Inc,Asbury Automotive,Autos,Consumer Cyclical,
ABIL,Ability Inc.,Ability,Communication Equipment,Technology,
ABIO,ARCA biopharma Inc.,ARCA biopharma,Biotechnology,Healthcare,
ABM,ABM Industries Incorporated,ABM Industries Incorporated,Business Services,Industrials,
ABMD,ABIOMED Inc.,ABIOMED,Medical Devices,Healthcare,
ABR,Arbor Realty Trust,Arbor Realty Trust,REITs,Real Estate,
ABT,Abbott Laboratories,Abbott Laboratories,Medical Devices,Healthcare,
ABTX,Allegiance Bancshares Inc.,Allegiance Bancshares,Banks,Financial Services,
ABUS,Arbutus Biopharma Corporation,Arbutus Biopharma,Biotechnology,Healthcare,
AC,Associated Capital Group Inc.,Associated Capital,Brokers & Exchanges,Financial Services,
ACA,Arcosa Inc.,Arcosa,Engineering & Construction,Industrials,
ACAD,ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals,Biotechnology,Healthcare,
ACB,Aurora Cannabis Inc.,Aurora Cannabis,Drug Manufacturers,Healthcare,
